magnitude,mmi,sig,nst,dmin,gap,depth,latitude,longitude
6.5,6.0,655.0,423.0,0.0,12.6,37.0,-6.57,147.881
7.0,7.0,799.0,0.0,0.903,13.0,28.41,-31.5622,-71.4262
6.7,5.0,691.0,0.0,0.748,43.0,26.59,-29.9414,-177.607
7.3,6.0,952.0,0.0,2.629,16.0,212.0,-6.4078,129.169
6.7,3.0,691.0,217.0,0.0,25.2,624.0,52.235,151.444
7.9,8.0,963.0,0.0,0.133,22.0,109.0,51.8486,178.735
6.8,6.0,716.0,0.0,3.727,11.0,42.0,-6.0033,148.887
7.4,7.0,843.0,0.0,0.437,30.0,43.0,-29.6131,-177.842
7.4,7.0,1455.0,751.0,0.0,25.5,24.0,13.988,-91.895
7.8,6.0,936.0,195.0,0.0,20.3,35.0,-12.517,166.382
6.9,5.0,825.0,0.0,0.0,0.0,25.5,37.55,142.714
7.1,6.0,776.0,0.0,4.415,13.0,434.0,-19.6903,-177.759
6.8,7.0,711.0,400.0,0.0,17.5,12.0,-10.838,165.969
7.1,6.0,787.0,564.0,0.0,12.3,28.0,-18.311,168.218
6.6,8.0,2840.0,0.0,0.174,25.0,8.0,42.8621,13.0961
6.7,7.0,806.0,0.0,0.289,32.0,24.0,23.3421,121.636
7.0,7.0,768.0,537.0,0.0,23.1,22.0,-2.13,99.627
8.3,5.0,1115.0,385.0,0.0,10.0,598.1,54.892,153.221
6.6,5.0,670.0,0.0,3.34,10.0,106.0,-21.4542,170.355
6.6,7.0,733.0,0.0,1.778,16.0,10.0,28.2244,84.8216
6.5,5.0,650.0,0.0,2.045,16.0,6.43,-9.3293,157.877
7.7,8.0,2015.0,0.0,7.241,17.0,15.0,26.951,65.5009
7.3,7.0,831.0,397.0,0.0,18.2,35.0,-5.931,150.59
7.0,7.0,1527.0,0.0,1.518,18.0,21.0,37.8973,26.7953
7.0,7.0,874.0,403.0,0.0,17.1,18.0,-34.326,-71.799
6.5,4.0,655.0,0.0,1.692,68.0,10.0,49.297,-129.724
6.9,5.0,732.0,0.0,4.838,25.0,8.0,-55.4703,-28.3669
7.3,7.0,820.0,667.0,0.0,24.5,16.0,50.038,87.813
6.7,9.0,1481.0,43.0,0.0,124.0,38.182,19.877,-155.935
7.0,5.0,761.0,406.0,0.0,15.3,185.1,-20.671,169.716
6.5,7.0,657.0,353.0,0.0,27.5,20.0,-8.292,118.37
6.6,6.0,785.0,0.0,2.418,22.0,33.0,-6.9291,105.251
6.8,6.0,713.0,338.0,0.0,15.0,15.4,-9.019,157.551
8.2,8.0,1332.0,0.0,0.609,23.0,25.0,-19.6097,-70.7691
6.5,4.0,650.0,0.0,3.997,14.0,187.0,-13.8633,167.249
6.7,6.0,753.0,369.0,0.0,14.9,20.0,-1.479,99.49
7.9,7.0,987.0,0.0,3.625,9.0,135.0,-6.2464,155.172
7.6,7.0,889.0,551.0,0.0,0.0,24.0,18.77,-104.104
7.8,7.0,1020.0,714.0,0.0,16.1,115.6,-19.987,-69.197
6.9,7.0,732.0,305.0,0.0,15.3,10.0,-7.306,155.741
6.5,6.0,723.0,521.0,0.0,27.6,83.0,16.357,-94.304
6.7,6.0,691.0,453.0,0.0,0.0,34.0,-4.786,153.275
7.1,6.0,834.0,485.0,0.0,10.6,135.0,-7.551,146.809
6.5,5.0,661.0,0.0,4.449,10.0,110.57,-4.2433,143.485
6.6,6.0,671.0,0.0,3.403,12.0,107.0,-12.0662,166.648
7.5,8.0,1094.0,0.0,4.951,40.0,126.0,-4.4898,-76.8461
6.7,8.0,782.0,493.0,0.0,23.9,8.0,37.336,136.588
6.5,5.0,651.0,0.0,1.154,11.0,119.0,52.3909,176.769
7.2,4.0,838.0,443.0,0.0,17.0,19.0,2.433,93.21
7.6,5.0,957.0,0.0,3.287,10.0,606.21,-10.5372,-70.9437
6.9,4.0,742.0,0.0,2.495,13.0,12.0,-19.3733,176.052
7.0,5.0,840.0,577.0,0.0,18.2,22.0,37.552,142.214
7.4,7.0,842.0,314.0,0.0,20.2,31.1,-13.093,166.497
6.9,6.0,875.0,0.0,2.839,23.0,49.0,-7.2822,104.791
6.7,6.0,705.0,698.0,0.0,24.7,94.0,24.53,122.694
6.5,7.0,707.0,0.0,11.411,22.0,9.0,33.1926,103.855
7.6,7.0,1165.0,0.0,0.23,36.0,28.37,54.662,-159.675
6.5,4.0,651.0,0.0,5.931,20.0,246.0,-21.6857,-177.064
6.6,7.0,670.0,545.0,0.0,17.6,15.0,51.842,95.911
7.7,7.0,918.0,288.0,0.0,29.8,17.0,-0.414,132.885
6.5,6.0,655.0,0.0,0.576,22.0,33.93,51.4234,-178.026
6.7,4.0,693.0,0.0,7.853,19.0,10.0,71.6312,-11.2431
6.6,3.0,677.0,0.0,2.022,16.0,614.0,-4.8626,108.163
6.5,7.0,1360.0,51.0,0.3225,220.0,28.737,40.652,-124.692
6.9,6.0,732.0,0.0,3.934,15.0,615.42,-19.8015,-178.4
6.5,7.0,693.0,229.0,0.0,20.0,17.0,-41.704,174.337
6.7,7.0,691.0,462.0,0.0,0.0,62.0,-27.535,-70.586
6.9,5.0,732.0,798.0,0.0,31.2,188.6,55.682,160.003
6.9,7.0,951.0,0.0,0.402,25.0,6.43,40.2893,25.3889
7.5,8.0,943.0,0.0,5.48,17.0,25.21,-6.0699,142.754
6.5,8.0,1320.0,27.0,0.357,55.79,2.7,38.1689,-117.85
6.9,7.0,988.0,382.0,0.0,34.7,26.0,-36.422,-72.96
7.3,6.0,830.0,0.0,1.402,11.0,46.0,-30.6441,-178.1
6.8,4.0,779.0,664.0,0.0,18.2,350.4,36.808,134.85
7.2,7.0,802.0,432.0,0.0,18.6,20.0,3.886,126.387
6.5,6.0,650.0,700.0,0.0,47.4,43.0,51.148,157.522
6.6,4.0,676.0,225.0,0.0,78.5,27.8,34.064,141.491
6.5,6.0,678.0,0.0,1.293,19.0,10.0,34.1818,25.7101
